ime,procesor,ram,ssd,zaslon,graficna,operacijski_sistem,cena,url
"Prenosnik Microsoft Surface Laptop Studio 1 14,4” zaslon na dotik 120 Hz Intel i7-11370H, 32 GB RAM, 1 TB SSD, RTX 3050 Ti, Win 11 Pro",Intel i7-11370H,32 GB,1 TB,,RTX 3050,Win 11 Pro,"2.299,00 €",https://refurb.si/product/prenosnik-microsoft-surface-laptop-studio-1-144-zaslon-na-dotik-120-hz-intel-i7-11370h-32-gb-ram-1-tb-ssd-rtx-3050-ti-win-11-pro/?lang=en
"Prenosnik Microsoft Surface Laptop Studio 1 14,4” zaslon na dotik Intel i7-11370H, 16 GB RAM, 512 GB SSD, RTX 3050 Ti, Win 11 Pro",Intel i7-11370H,16 GB,512 GB,,RTX 3050,Win 11 Pro,"1.999,00 €",https://refurb.si/product/prenosnik-microsoft-surface-laptop-studio-1-144-zaslon-na-dotik-intel-i7-11370h-16-gb-ram-512-gb-ssd-rtx-3050-ti-win-11-pro/?lang=en
Prenosnik Lenovo ThinkPad X1 Yoga G7,Intel i7-1265U,16 GB,512 GB,"14""",,Win 11 Pro,"1.699,00 €",https://refurb.si/product/prenosnik-lenovo-thinkpad-x1-yoga-g7-14-wuxga-ips-zaslon-na-dotik-intel-i7-1265u-16-gb-ram-512-gb-ssd-win-11-pro/?lang=en
Laptop HP ZBook Studio 15 G8,Intel i7-11850H,32 GB,,"15.6""",RTX A2000,Win 11 Pro,"1.399,00 €",https://refurb.si/product/laptop-hp-zbook-studio-15-g8-15-6-ips-intel-i7-11850h-32-gb-ram-256-ssd-rtx-a2000-win-11-pro/?lang=en
Laptop Lenovo ThinkPad P16s G2,Intel i7-1370P,64 GB,1 TB,"16""",RTX A500,Win 11 Pro,"1.499,00 €",https://refurb.si/product/laptop-lenovo-thinkpad-p16s-g2-16-intel-i7-1370p-64-gb-ram-1-tb-ssd-rtx-a500-win-11-pro/?lang=en
Laptop Dell Precision 7730,Intel i7-8850H,16 GB,256 GB,"17.3""",Quadro P3200,Win 11 Pro,"1.099,00 €",https://refurb.si/product/laptop-dell-precision-7730-173-ips-intel-i7-8850h-16-gb-ram-256-gb-ssd-quadro-p3200-win-11-pro/?lang=en
Laptop Lenovo ThinkPad P1 G4,Intel i7-11850H,8 GB,,"16""",Quadro T1200,Win 11 Pro,"999,00 €",https://refurb.si/product/laptop-lenovo-thinkpad-p1-g4-16-ips-intel-i7-11850h-8-gb-ram-256-gb-quadro-t1200-win-11-pro/?lang=en
Prenosnik Lenovo Thinkpad P15V G3,Intel i7-12700H,16 GB,512 GB,"15.6""",,Win 11 Pro,"1.199,00 €",https://refurb.si/?post_type=product&p=22981&lang=en
Prenosnik Dell XPS 15 9500,Intel i7-10750H,16 GB,512 GB,"15.6""",,Win 11 Pro,"999,00 €",https://refurb.si/?post_type=product&p=20302&lang=en
Laptop Lenovo ThinkPad X13 Yoga G4,Intel Core i7,16 GB,,"13.3""",,Win 11 Pro,"1.299,00 €",https://refurb.si/product/lenovo-thinkpad-x13-yoga-g4-laptop-13-3-ips-touchscreen-intel-i7-1355u-16-gb-ram-512-ssd-win-11-pro/?lang=en
Laptop Dell Latitude 9430,Intel i7-1265U,16 GB,512 GB,"14""",,Win 11 Pro,"949,00 €",https://refurb.si/product/laptop-dell-latitude-9430-14-ips-touchscreen-2-in-1-intel-i7-1265u-16-gb-ram-512-gb-ssd-win-11-pro/?lang=en
Laptop HP EliteBook 840 G9,Intel i7-1265U,32 GB,512 GB,"14""",,Win 11 Pro,"849,00 €",https://refurb.si/product/laptop-hp-elitebook-840-g9-14-uwva-touchscreen-intel-i7-1265u-32-gb-ram-512-gb-ssd-win-11-pro/?lang=en
Laptop DELL Precision 3570,Intel Core i7,32 GB,512 GB,"15.6""",,Win 11 Pro,"1.199,00 €",https://refurb.si/product/laptop-dell-precision-3570-15-6-ips-intel-core-i7-1255u-32-gb-ram-512-gb-ssd-nvidia-t550-win-11-pro/?lang=en
Laptop Dell Latitude 9420,Intel Core i7,16 GB,512 GB,"14""",,Win 11 Pro,"999,00 €",https://refurb.si/product/laptop-dell-latitude-9420-14-lcd-i7-1185g7-16-gb-ram-512-gb-ssd-win-11-pro/?lang=en
